Timestamp,What's YOUR slack user ID?,What team are you ordering for?,What 'project' is this for? Be consistent and capitalize every word!,Part Name?,Link?,Supplier?,Qty?,What does the item do? [Business Purpose],Any extra notes?,Purchased?,Price,Receipt Link,Bought with?,Orderer Notes,Arrived?,Audit Link,WebFin2 Final Check
9/17/2022 16:13:54,U01QZ4B3VSB,Firmware,Manny Electrical,"Wiv77 Blue Wireless Controller Compatible with Playstation 4,Remote Joystick Control Works with PS4, Gamepad with Charging Cable, Blue",https://www.amazon.com/Wiv77-Controller-Compatible-Playstation-Joystick/dp/B09PGZDMHX/ref=sr_1_16?crid=1AZ8I005UUXOE&keywords=joystick%2Bps4%2Bblue&qid=1663027447&sprefix=joystick%2Bps4%2Bblue%2Caps%2C126&sr=8-16&th=1,Amazon,1,"For checking Manny's drive train, checking Raspberry Pi's bluetooth function, and collecting data for deep learning model",-,TRUE,$16.99,2022-09-17-Amazon,GIFT - ESHOP,-,TRUE,2022-09-20-Amazon-(WebFin2)-(1),TRUE
9/17/2022 16:13:55,U01QZ4B3VSB,Firmware,Manny Electrical,"LaView 64GB Micro SD Card 2 Pack, Micro SDXC UHS-I Memory Card - 95MB/s,633X,U3,C10, Full HD Video V",https://www.amazon.com/LaView-64GB-Micro-UHS-I-Memory/dp/B08L3N148B/ref=sr_1_2_sspa?crid=1YQEB526OB575&keywords=micro+Sd+card&qid=1662596482&s=electronics&sprefix=micro+sd+card%2Celectronics%2C260&sr=1-2-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUExMjlXOUhYNUVETUFTJmVuY3J5cHRlZElkPUEwMDYwNjc3MjhSVkc3UUY4UTM0UyZlbmNyeXB0ZWRBZElkPUEwODAzNDg2MkpXMlg2RDlMM01OTCZ3aWRnZXROYW1lPXNwX2F0ZiZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU=,Amazon,1,SD card to store any extra things that wont fit on the Raspberry Pi,-,TRUE,$19.99,2022-09-17-Amazon,GIFT - ESHOP,-,TRUE,2022-09-20-Amazon-(WebFin2)-(2),TRUE
9/17/2022 16:13:56,U01QZ4B3VSB,Firmware,Manny Electrical,Raspberry Pi 4 Model B 2019 Quad Core 64 Bit WiFi Bluetooth (4GB),https://www.amazon.com/Raspberry-Model-2019-Quad-Bluetooth/dp/B07TC2BK1X/ref=sr_1_3?crid=2DACRUOXS6M27&keywords=raspberry%2Bpi%2B4b%2B4gb&qid=1662595970&s=electronics&sprefix=raspberry%2Bpi%2B4%2Bb%2B4gb%2Celectronics%2C105&sr=1-3&th=1,Amazon,2,Raspberry Pi mini computer used to hold and run all of Manny's code,-,TRUE,$313.98,2022-09-17-Amazon,GIFT - ESHOP,-,TRUE,2022-09-20-Amazon-(WebFin2)-(2),TRUE
9/17/2022 16:13:57,U01QZ4B3VSB,Firmware,Manny Electrical,"Raspberry Pi Camera Module V2-8 Megapixel,1080p (RPI-CAM-V2)",https://www.amazon.com/Raspberry-Pi-Camera-Module-Megapixel/dp/B01ER2SKFS?th=1,Amazon,2,A camera to detect roads and targets,-,TRUE,$65.00,2022-09-17-Amazon,GIFT - ESHOP,-,TRUE,2022-09-20-Amazon-(WebFin2)-(2),TRUE
9/20/2022 16:13:02,U01QZ4B3VSB,Firmware,Manny Supplies,"Prang (Formerly SunWorks) Construction Paper, Black, 12"" x 18"", 100 Sheets",https://www.amazon.com/SunWorks-Construction-12-Inches-18-Inches-100-Count/dp/B002LARR9E/ref=sr_1_2_sspa?keywords=black+construction+paper&qid=1662675128&sprefix=black+constr%2Caps%2C93&sr=8-2-spons&psc=1,Amazon,1,For road Manny will be on,-,TRUE,$11.29,2022-09-20-Amazon,GIFT - ESHOP,-,TRUE,2022-09-26-Amazon-(WebFin2)-(2),TRUE
9/20/2022 16:13:03,U01QZ4B3VSB,Firmware,Manny Supplies,"SunWorks Heavyweight Construction Paper, 9 x 12 Inches, Holiday Green, 100 Sheets",https://www.amazon.com/SunWorks-Construction-Paper-Holiday-Sheets/dp/B001C5TW42/ref=sr_1_7?c=ts&keywords=Construction+Paper&qid=1663457509&refinements=p_n_size_browse-vebin%3A2637806011&s=arts-crafts&sr=1-7-catcorr&ts_id=12898141,Amazon,1,"It's paper that we are going to use for our roads, so it looks nice and so Manny can have an easier time detecting the roads.",-,TRUE,$3.79,2022-09-20-Amazon,GIFT - ESHOP,-,TRUE,2022-09-26-Amazon-(WebFin2)-(2),TRUE
9/20/2022 16:13:06,U01QZ4B3VSB,Firmware,Manny Electrical,"2-Pack Miady 5000mAh Mini Portable Charger, Power Pack with 5V 2.4A USB Output, Power Bank Phone Cha",https://www.amazon.com/Miady-5000mAh-Portable-Charger-Android/dp/B08T8TDS8S/ref=sr_1_3?keywords=5000mah%2Bpower%2Bbank&qid=1662064597&sr=8-3&th=1,Amazon,1,Batteries to power raspberry pi and everything connected to it,-,TRUE,$13.95,2022-09-20-Amazon,GIFT - ESHOP,-,TRUE,2022-09-26-Amazon-(WebFin2)-(3),TRUE
9/20/2022 16:13:07,U01QZ4B3VSB,Firmware,Manny Electrical,"Pastall Raspberry Pi Camera Cable, 6pack 15 Pin (15cm 2pcs/30cm 2pcs/50cm 2pcs) FFC Ribbon Flexible",https://www.amazon.com/dp/B089LM5D1T/ref=sspa_dk_detail_0?psc=1&pd_rd_i=B089LM5D1T&pd_rd_w=BI5od&content-id=amzn1.sym.3481f441-61ac-4028-9c1a-7f9ce8ec50c5&pf_rd_p=3481f441-61ac-4028-9c1a-7f9ce8ec50c5&pf_rd_r=BC0620GDG6TPNET4WWXQ&pd_rd_wg=0CyLh&pd_rd_r=874302f7-f559-4662-9212-e1302b062534&s=pc&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEyM0pOV1BKOVRYUExVJmVuY3J5cHRlZElkPUEwMTk3MDkwM09XQzZOMjdJVlJWNCZlbmNyeXB0ZWRBZElkPUEwNTMzODY1UUJMQUZMS09NNk5VJndpZGdldE5hbWU9c3BfZGV0YWlsX3RoZW1hdGljJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,Amazon,1,For the long connection between raspberry pi and pi camera,-,TRUE,$7.99,2022-09-20-Amazon,GIFT - ESHOP,-,TRUE,2022-09-26-Amazon-(WebFin2)-(3),TRUE
9/20/2022 16:13:08,U01QZ4B3VSB,Firmware,Manny Supplies,Professional White Painters Tape 0.94-Inches x 55 Yards (3-Pack) White Painters Masking Tape Bulk -,https://www.amazon.com/Professional-Painters-0-94-Inches-3-Pack-Masking/dp/B0B62YWD8R/ref=sr_1_1_sspa?crid=30ZUDZRYXZ1WM&keywords=white+painters+tape&qid=1662674433&sprefix=white+painters+tape%2Caps%2C76&sr=8-1-spons&psc=1,Amazon,1,For road Manny will be on,-,TRUE,$9.68,2022-09-20-Amazon,GIFT - ESHOP,-,TRUE,2022-09-26-Amazon-(WebFin2)-(4),TRUE
10/6/2022 16:14:05,U01QZ4B3VSB,Firmware,Manny Electrical,2x 40pcs Female to Female 2.54mm 0.1 in Jumper Wires F/F (2x40pcs),https://www.amazon.com/40pcs-Female-2-54mm-Jumper-2x40pcs/dp/B00GSE2S98,Amazon,1,Connect motor / motor controller to raspberry pi,-,TRUE,$7.99,2022-10-6-Amazon,GIFT - ESHOP,-,TRUE,2022-10-10-Amazon-(WebFin2),TRUE
